test_name,vertices,edges,exact_time,exact_value
test_10v_1.txt,10,20,0.02188587188720703,704
test_10v_2.txt,10,25,0.03615617752075195,726
test_10v_3.txt,10,30,0.0909578800201416,731
test_10v_4.txt,10,22,0.026077985763549805,575
test_10v_5.txt,10,28,0.0711359977722168,755
test_11v_1.txt,11,25,0.037532806396484375,861
test_11v_2.txt,11,35,0.5136661529541016,729
test_11v_3.txt,11,45,5.5769429206848145,873
test_11v_4.txt,11,30,0.09656405448913574,584
test_11v_5.txt,11,40,1.5140380859375,831
test_8v_1.txt,8,12,0.015506982803344727,353
test_8v_2.txt,8,16,0.016614198684692383,452
test_8v_3.txt,8,20,0.019318103790283203,568
test_8v_4.txt,8,14,0.015217065811157227,462
test_8v_5.txt,8,18,0.017366886138916016,550
test_9v_1.txt,9,15,0.016188859939575195,525
test_9v_2.txt,9,20,0.01941394805908203,522
test_9v_3.txt,9,25,0.03654003143310547,651
test_9v_4.txt,9,18,0.016803979873657227,534
test_9v_5.txt,9,22,0.021419048309326172,541
